date,status,close_at
2025-01-01,open,2025-01-01T17:00:00Z
2025-01-02,open,2025-01-02T17:00:00Z
2025-01-03,open,2025-01-03T17:00:00Z
2025-01-04,open,2025-01-04T17:00:00Z
2025-01-05,open,2025-01-05T17:00:00Z
2025-01-06,open,2025-01-06T17:00:00Z
2025-01-07,open,2025-01-07T17:00:00Z
2025-01-08,open,2025-01-08T17:00:00Z
2025-01-09,open,2025-01-09T17:00:00Z
2025-01-10,open,2025-01-10T17:00:00Z
2025-01-11,open,2025-01-11T17:00:00Z
2025-01-12,open,2025-01-12T17:00:00Z
2025-01-13,open,2025-01-13T17:00:00Z
2025-01-14,open,2025-01-14T17:00:00Z
