date,listing_ref,open,high,low,close,volume,currency,available_at
2025-01-01,ASSET,10,10,10,10,100,EUR,2025-01-01T17:01:00Z
2025-01-02,ASSET,10,10,10,10,100,EUR,2025-01-02T17:01:00Z
2025-01-03,ASSET,10,10,10,10,100,EUR,2025-01-03T17:01:00Z
2025-01-04,ASSET,10,12,10,12,100,EUR,2025-01-04T17:01:00Z
2025-01-05,ASSET,10,10,10,10,100,EUR,2025-01-05T17:01:00Z
2025-01-06,ASSET,10,10,8,8,100,EUR,2025-01-06T17:01:00Z
2025-01-07,ASSET,8,8,8,8,100,EUR,2025-01-07T17:01:00Z
2025-01-08,ASSET,10,10,10,10,100,EUR,2025-01-08T17:01:00Z
2025-01-09,ASSET,10,10,10,10,100,EUR,2025-01-09T17:01:00Z
2025-01-10,ASSET,10,10,10,10,100,EUR,2025-01-10T17:01:00Z
2025-01-11,ASSET,10,12,10,12,100,EUR,2025-01-11T17:01:00Z
2025-01-12,ASSET,10,10,10,10,100,EUR,2025-01-12T17:01:00Z
2025-01-13,ASSET,10,10,8,8,100,EUR,2025-01-13T17:01:00Z
2025-01-14,ASSET,8,8,8,8,100,EUR,2025-01-14T17:01:00Z
