date,open_at,close_at,open_available_at
2025-01-01,2025-01-01T09:00:00Z,2025-01-01T17:00:00Z,2025-01-01T09:00:00Z
2025-01-02,2025-01-02T09:00:00Z,2025-01-02T17:00:00Z,2025-01-02T09:00:00Z
2025-01-03,2025-01-03T09:00:00Z,2025-01-03T17:00:00Z,2025-01-03T09:00:00Z
2025-01-04,2025-01-04T09:00:00Z,2025-01-04T17:00:00Z,2025-01-04T09:00:00Z
2025-01-05,2025-01-05T09:00:00Z,2025-01-05T17:00:00Z,2025-01-05T09:00:00Z
2025-01-06,2025-01-06T09:00:00Z,2025-01-06T17:00:00Z,2025-01-06T09:00:00Z
2025-01-07,2025-01-07T09:00:00Z,2025-01-07T17:00:00Z,2025-01-07T09:00:00Z
2025-01-08,2025-01-08T09:00:00Z,2025-01-08T17:00:00Z,2025-01-08T09:00:00Z
2025-01-09,2025-01-09T09:00:00Z,2025-01-09T17:00:00Z,2025-01-09T09:00:00Z
2025-01-10,2025-01-10T09:00:00Z,2025-01-10T17:00:00Z,2025-01-10T09:00:00Z
2025-01-11,2025-01-11T09:00:00Z,2025-01-11T17:00:00Z,2025-01-11T09:00:00Z
2025-01-12,2025-01-12T09:00:00Z,2025-01-12T17:00:00Z,2025-01-12T09:00:00Z
2025-01-13,2025-01-13T09:00:00Z,2025-01-13T17:00:00Z,2025-01-13T09:00:00Z
2025-01-14,2025-01-14T09:00:00Z,2025-01-14T17:00:00Z,2025-01-14T09:00:00Z
