date,status,close_at
2025-01-01,open,2025-01-01T17:00:00Z
2025-01-02,open,2025-01-02T17:00:00Z
2025-01-03,open,2025-01-03T17:00:00Z
2025-01-04,open,2025-01-04T17:00:00Z
2025-01-05,open,2025-01-05T17:00:00Z
2025-01-06,open,2025-01-06T17:00:00Z
2025-01-07,open,2025-01-07T17:00:00Z
2025-01-08,open,2025-01-08T17:00:00Z
2025-01-09,open,2025-01-09T17:00:00Z
2025-01-10,open,2025-01-10T17:00:00Z
2025-01-11,open,2025-01-11T17:00:00Z
2025-01-12,open,2025-01-12T17:00:00Z
2025-01-13,open,2025-01-13T17:00:00Z
2025-01-14,open,2025-01-14T17:00:00Z
2025-01-15,open,2025-01-15T17:00:00Z
2025-01-16,open,2025-01-16T17:00:00Z
2025-01-17,open,2025-01-17T17:00:00Z
2025-01-18,open,2025-01-18T17:00:00Z
2025-01-19,open,2025-01-19T17:00:00Z
2025-01-20,open,2025-01-20T17:00:00Z
2025-01-21,open,2025-01-21T17:00:00Z
2025-01-22,open,2025-01-22T17:00:00Z
2025-01-23,open,2025-01-23T17:00:00Z
2025-01-24,open,2025-01-24T17:00:00Z
2025-01-25,open,2025-01-25T17:00:00Z
2025-01-26,open,2025-01-26T17:00:00Z
2025-01-27,open,2025-01-27T17:00:00Z
2025-01-28,open,2025-01-28T17:00:00Z
2025-01-29,open,2025-01-29T17:00:00Z
2025-01-30,open,2025-01-30T17:00:00Z
2025-01-31,open,2025-01-31T17:00:00Z
2025-02-01,open,2025-02-01T17:00:00Z
2025-02-02,open,2025-02-02T17:00:00Z
2025-02-03,open,2025-02-03T17:00:00Z
2025-02-04,open,2025-02-04T17:00:00Z
2025-02-05,open,2025-02-05T17:00:00Z
2025-02-06,open,2025-02-06T17:00:00Z
