date,listing_ref,open,high,low,close,volume,currency,available_at
2025-01-01,ASSET,10,10,10,10,100,EUR,2025-01-01T17:01:00Z
2025-01-02,ASSET,10,10,10,10,100,EUR,2025-01-02T17:01:00Z
2025-01-03,ASSET,10,10,10,10,100,EUR,2025-01-03T17:01:00Z
2025-01-04,ASSET,10,12,10,12,100,EUR,2025-01-04T17:01:00Z
2025-01-05,ASSET,10,10,10,10,100,EUR,2025-01-05T17:01:00Z
2025-01-06,ASSET,10,10,8,8,100,EUR,2025-01-06T17:01:00Z
2025-01-07,ASSET,8,8,8,8,100,EUR,2025-01-07T17:01:00Z
2025-01-08,ASSET,10,10,10,10,100,EUR,2025-01-08T17:01:00Z
2025-01-09,ASSET,10,10,10,10,100,EUR,2025-01-09T17:01:00Z
2025-01-10,ASSET,10,10,10,10,100,EUR,2025-01-10T17:01:00Z
2025-01-11,ASSET,10,12,10,12,100,EUR,2025-01-11T17:01:00Z
2025-01-12,ASSET,10,10,10,10,100,EUR,2025-01-12T17:01:00Z
2025-01-13,ASSET,10,10,8,8,100,EUR,2025-01-13T17:01:00Z
2025-01-14,ASSET,8,8,8,8,100,EUR,2025-01-14T17:01:00Z
2025-01-15,ASSET,10,10,10,10,100,EUR,2025-01-15T17:01:00Z
2025-01-16,ASSET,10,10,10,10,100,EUR,2025-01-16T17:01:00Z
2025-01-17,ASSET,10,10,10,10,100,EUR,2025-01-17T17:01:00Z
2025-01-18,ASSET,10,12,10,12,100,EUR,2025-01-18T17:01:00Z
2025-01-19,ASSET,10,10,10,10,100,EUR,2025-01-19T17:01:00Z
2025-01-20,ASSET,10,10,8,8,100,EUR,2025-01-20T17:01:00Z
2025-01-21,ASSET,8,8,8,8,100,EUR,2025-01-21T17:01:00Z
2025-01-22,ASSET,10,10,10,10,100,EUR,2025-01-22T17:01:00Z
2025-01-23,ASSET,10,10,10,10,100,EUR,2025-01-23T17:01:00Z
2025-01-24,ASSET,10,10,10,10,100,EUR,2025-01-24T17:01:00Z
2025-01-25,ASSET,10,12,10,12,100,EUR,2025-01-25T17:01:00Z
2025-01-26,ASSET,10,10,10,10,100,EUR,2025-01-26T17:01:00Z
2025-01-27,ASSET,10,10,8,8,100,EUR,2025-01-27T17:01:00Z
2025-01-28,ASSET,8,8,8,8,100,EUR,2025-01-28T17:01:00Z
2025-01-29,ASSET,10,10,10,10,100,EUR,2025-01-29T17:01:00Z
2025-01-30,ASSET,10,10,10,10,100,EUR,2025-01-30T17:01:00Z
2025-01-31,ASSET,10,10,10,10,100,EUR,2025-01-31T17:01:00Z
2025-02-01,ASSET,10,12,10,12,100,EUR,2025-02-01T17:01:00Z
2025-02-02,ASSET,10,10,10,10,100,EUR,2025-02-02T17:01:00Z
2025-02-03,ASSET,10,10,8,8,100,EUR,2025-02-03T17:01:00Z
2025-02-04,ASSET,8,8,8,8,100,EUR,2025-02-04T17:01:00Z
2025-02-05,ASSET,10,10,10,10,100,EUR,2025-02-05T17:01:00Z
2025-02-06,ASSET,10,10,10,10,100,EUR,2025-02-06T17:01:00Z
