date,open_at,close_at,open_available_at
2025-01-01,2025-01-01T09:00:00Z,2025-01-01T17:00:00Z,2025-01-01T09:00:00Z
2025-01-02,2025-01-02T09:00:00Z,2025-01-02T17:00:00Z,2025-01-02T09:00:00Z
2025-01-03,2025-01-03T09:00:00Z,2025-01-03T17:00:00Z,2025-01-03T09:00:00Z
2025-01-04,2025-01-04T09:00:00Z,2025-01-04T17:00:00Z,2025-01-04T09:00:00Z
2025-01-05,2025-01-05T09:00:00Z,2025-01-05T17:00:00Z,2025-01-05T09:00:00Z
2025-01-06,2025-01-06T09:00:00Z,2025-01-06T17:00:00Z,2025-01-06T09:00:00Z
2025-01-07,2025-01-07T09:00:00Z,2025-01-07T17:00:00Z,2025-01-07T09:00:00Z
2025-01-08,2025-01-08T09:00:00Z,2025-01-08T17:00:00Z,2025-01-08T09:00:00Z
2025-01-09,2025-01-09T09:00:00Z,2025-01-09T17:00:00Z,2025-01-09T09:00:00Z
2025-01-10,2025-01-10T09:00:00Z,2025-01-10T17:00:00Z,2025-01-10T09:00:00Z
2025-01-11,2025-01-11T09:00:00Z,2025-01-11T17:00:00Z,2025-01-11T09:00:00Z
2025-01-12,2025-01-12T09:00:00Z,2025-01-12T17:00:00Z,2025-01-12T09:00:00Z
2025-01-13,2025-01-13T09:00:00Z,2025-01-13T17:00:00Z,2025-01-13T09:00:00Z
2025-01-14,2025-01-14T09:00:00Z,2025-01-14T17:00:00Z,2025-01-14T09:00:00Z
2025-01-15,2025-01-15T09:00:00Z,2025-01-15T17:00:00Z,2025-01-15T09:00:00Z
2025-01-16,2025-01-16T09:00:00Z,2025-01-16T17:00:00Z,2025-01-16T09:00:00Z
2025-01-17,2025-01-17T09:00:00Z,2025-01-17T17:00:00Z,2025-01-17T09:00:00Z
2025-01-18,2025-01-18T09:00:00Z,2025-01-18T17:00:00Z,2025-01-18T09:00:00Z
2025-01-19,2025-01-19T09:00:00Z,2025-01-19T17:00:00Z,2025-01-19T09:00:00Z
2025-01-20,2025-01-20T09:00:00Z,2025-01-20T17:00:00Z,2025-01-20T09:00:00Z
2025-01-21,2025-01-21T09:00:00Z,2025-01-21T17:00:00Z,2025-01-21T09:00:00Z
2025-01-22,2025-01-22T09:00:00Z,2025-01-22T17:00:00Z,2025-01-22T09:00:00Z
2025-01-23,2025-01-23T09:00:00Z,2025-01-23T17:00:00Z,2025-01-23T09:00:00Z
2025-01-24,2025-01-24T09:00:00Z,2025-01-24T17:00:00Z,2025-01-24T09:00:00Z
2025-01-25,2025-01-25T09:00:00Z,2025-01-25T17:00:00Z,2025-01-25T09:00:00Z
2025-01-26,2025-01-26T09:00:00Z,2025-01-26T17:00:00Z,2025-01-26T09:00:00Z
2025-01-27,2025-01-27T09:00:00Z,2025-01-27T17:00:00Z,2025-01-27T09:00:00Z
2025-01-28,2025-01-28T09:00:00Z,2025-01-28T17:00:00Z,2025-01-28T09:00:00Z
2025-01-29,2025-01-29T09:00:00Z,2025-01-29T17:00:00Z,2025-01-29T09:00:00Z
2025-01-30,2025-01-30T09:00:00Z,2025-01-30T17:00:00Z,2025-01-30T09:00:00Z
2025-01-31,2025-01-31T09:00:00Z,2025-01-31T17:00:00Z,2025-01-31T09:00:00Z
2025-02-01,2025-02-01T09:00:00Z,2025-02-01T17:00:00Z,2025-02-01T09:00:00Z
2025-02-02,2025-02-02T09:00:00Z,2025-02-02T17:00:00Z,2025-02-02T09:00:00Z
2025-02-03,2025-02-03T09:00:00Z,2025-02-03T17:00:00Z,2025-02-03T09:00:00Z
2025-02-04,2025-02-04T09:00:00Z,2025-02-04T17:00:00Z,2025-02-04T09:00:00Z
2025-02-05,2025-02-05T09:00:00Z,2025-02-05T17:00:00Z,2025-02-05T09:00:00Z
2025-02-06,2025-02-06T09:00:00Z,2025-02-06T17:00:00Z,2025-02-06T09:00:00Z
